Product_Number,Product_Name,Brand,Format,Unit_Price_CAD,Quantity_Ordered,Total_Price_CAD
7705205,"Miel liquide doré, bouteille compressible",Gordon Choice,EA CS,78.74,2,157.48
7255948,Confiture de fraises avec pectine,Dora,L CS,42.79,2,85.58
1282655,"Confiture de fraises pure, portion, barquette",Kraft,EA CS,45.79,1,45.79
2430866,"Ketchup, portions",Heinz,EA CS,57.72,2,115.44
1281232,"Ketchup, bouteille inversée",French's,EA CS,30.71,3,92.13
1327745,Couvercle en plastique pour contenant rond en carton brun 8 oz,Hy Pax,UN CS,64.26,2,128.52
2018938,Mandarines en quartiers dans un sirop léger,Success,EA CS,55.94,1,55.94
1280134,Mayonnaise,Kraft,PAI CS,133.11,1,133.11
7009058,"Mayonnaise, portion individuelle, sachet",Heinz,EA CS,34.65,4,138.6
2438005,Préparation pour gâteau au fromage rapide,Jell-O,EA CS,32.36,1,32.36
7265578,Préparation pour mousse instantanée hypocalorique aux fraises,Dr. Oetker,EA CS,32.74,1,32.74
1158366,Tête de vadrouille humide en coton à bande étroite 16 oz,Array,EA CS,89.57,2,179.14
2648205,"Huile de canola HiLo, bidon",Canola Harvest,L CS,56.41,6,338.46
1132555,Huile de canola pure,Gordon Choice,EA CS,38.8,2,77.6
1220681,Huile de sésame pure,Gordon Choice,EA CS,67.69,1,67.69
2219768,"Tampons à récurer bleus très robustes, 88, 3,5 x 5 po",Scotch-Brite,EA CS,49.94,1,49.94
6859416,Pâtes alimentaires macaroni coudes géants 16 mm,Tavolini,KG CS,42.06,2,84.12
1076578,Pêches en dés dans un sirop léger,Tropic,EA CS,55.02,1,55.02
1286307,"Beurre d’arachides crémeux, portion individuelle, coupelle",Kraft,EA CS,46.47,2,92.94
1502712,"Assiette robuste en carton blanc, 9 po",Solo,EA CS,79.23,10,792.3
1116537,"Mélange à pouding au tapioca à la vanille pour garniture, à cuire",Shirriff,EA CS,14.42,2,28.84
9769205,Riz basmati,Ben's Original,EA CS,67.37,4,269.48
5255248,Cocktail de cinq fruits dans un sirop léger,Tropic,EA CS,56.86,1,56.86
2666205,Sauce salsa douce épaisse avec de gros morceaux,Pace,EA CS,90.01,1,90.01
6417805,Assainisseur quaternaire pour distributeur Oasis 146,Ecolab,L CS,352.74,1,352.74
2878005,Mélange pour sauce au fromage en une étape,Trio,EA CS,82.73,1,82.73
2390405,Sauce soya,Kikkoman,L CS,55.86,1,55.86
4051068,Sauce à spaghetti aux tomates et basilic,Primo,EA CS,48.38,3,145.14
1307034,Tamis pour urinoir au parfum d’orange,Good Sense,EA CS,46.18,2,92.36
1297356,"Boisson gazeuse 7 Up, sirop, sac dans boîte",7UP,L CS,48.06,1,48.06
1297378,"Boisson gazeuse Crush orange, sirop, sac dans boîte",Crush,L CS,48.06,4,192.24
8870205,"Boisson gazeuse Pepsi, sirop, sac dans boîte",Pepsi,L CS,72.08,2,144.16
8870005,"Boisson gazeuse Pepsi diète, sirop, sac dans boîte",Pepsi,L CS,48.06,4,192.24
8739605,"Épices poudre de chili, saupoudreuse",Trade East,G EA,12.52,4,50.08
8739805,"Épices cannelle moulue, saupoudreuse",Trade East,G EA,16.27,2,32.54
5248405,Épices poivre noir concassé grossièrement,Trade East,KG CS,86.64,1,86.64
8986405,Enduit à cuisson antiadhésif tout usage en vaporisateur,Canola Harvest,EA CS,34.29,1,34.29
1304734,"Édulcorant original, substitut de sucre, portion unitaire, sachet",Splenda,EA CS,36.28,4,145.12
1167175,Coquilles à tacos au maïs grand format 6 po,Mission,EA CS,41.8,1,41.8
1502164,"Thé noir orange pekoe, sachets individuels d'une tasse avec étiquette",Red Rose,EA CS,56.16,1,56.16
1391590,"Papier hygiénique à double épaisseur, rouleau de 500 feuilles emballé individuellement",Array,EA CS,35.73,10,357.3
1370066,Chiffon bleu pour service alimentaire,Swipes,UN CS,28.11,8,224.88
5244605,"Rouleau d'essuie-mains à simple épaisseur, brun, 7,9 po x 800 pi",Array,UN CS,34.02,10,340.2
1106214,Pellicule plastique 18 po x 2000 pi,Anchor Packaging,UN CS,42.65,2,85.3
1217801,"Pellicule plastique, rouleau de 11 po x 2500 pi, dans boîte distributrice",Gordon Choice,UN CS,40.07,2,80.14
